ID,Phase,Week,Feature,Description,Priority,Effort (days),Dependencies,Acceptance Criteria,Status,Evidence / Notes,Primary User,Role Detail,Aannemer Priority,Contractor-First Phase,Aannemer Usage
27,Offline & Findings,5,Resolution evidence upload,"When a finding is marked 'opgelost' (resolved), the user must attach evidence: a photo, a document (e.g., remediation certificate), or a written explanation referencing other evidence. Cannot mark as resolved without evidence. The kwaliteitsborger sees this evidence when transitioning to 'geverifieerd'. This is the legal core of the system — every claim of resolution must have supporting proof retained for 10 years.",P0,0.5,26,Cannot transition to opgelost without evidence; evidence is permanently linked to the finding; kwaliteitsborger reviews evidence before verification.,Done,"WS3 shipped. Finding.resolution_note (Text) + resolution_evidence_ids (JSONB) added via migration 0003_tenant_finding_resolution. update_finding evidence gate: a transition into resolved requires a non-empty resolution_note AND at least one resolution_evidence_ids, else 422 FINDING_RESOLVE_REQUIRES_EVIDENCE — no silent close. Verification is inspector-only (403 FINDING_VERIFY_REQUIRES_INSPECTOR), so the kwaliteitsborger reviews the evidence before geverifieerd. Portal: FindingDetailModal resolution dialog (note + evidence picker reusing FindingPhotos) and an inspector-only Verifiëren button; bilingual resolution.* / verify.* keys in en.json + nl.json. Tests in test_findings.py.",Aannemer,Aannemer uploads resolution evidence (photo/cert) to close a finding; KB reviews it,P0-AN,Phase 2,"Aannemer uploads resolution evidence (photo, certificate, written explanation) to close findings."
28,Deadlines,6,Deadline tracker logic,"Compute three meldingen deadlines per project: bouwmelding = planned_start_date - 4 weeks, informatieplicht = planned_start_date - 2 working days, gereedmelding = oplevering_date + 10 working days. Working days exclude weekends and Dutch national holidays (use a holiday calendar library). Recompute when project dates change. Store as separate deadline records with status (upcoming/met/missed/n.v.t.) so they can be queried independently. The kwaliteitsborger and aannemer both see deadlines on the project dashboard, but the contractor is the one legally responsible for filing.",P0,1,9,Deadlines correctly computed including working-day logic; updates when project dates change; displayed prominently on project page.,Done,"deadlines/compute.py (bouwmelding T-28d, informatieplicht T-2wd, gereedmelding T+10wd), deadlines/working_days.py (Dutch holiday calendar), models/deadline.py (DeadlineStatus: pending/met/not_applicable), deadlines/settings.py. System-managed upsert recomputes on date changes. Stored as separate Deadline records per project.",Kwaliteitsborger + Aannemer,Both see deadlines; Aannemer is legally responsible for filing meldingen,P0-AN,Phase 1,THE #1 aannemer feature. They are legally responsible for filing all 3 meldingen. Missing one = project shutdown.
29,Deadlines,6,Email reminder system,"Cron job (or scheduled task in Postmark/SendGrid) runs daily, identifies upcoming deadlines, and sends reminders at T-30, T-14, T-7, T-1 days for each unmet melding. Email includes deadline name, due date, days remaining, project link, and what action to take. Templated in Dutch. Preference: respect user notification settings (mute project, mute role). Critical: idempotent so a cron retry does not double-send. The reminder system is what customers will pay for — losing a bouwmelding deadline is illegal, and your tool prevents it.",P0,1.5,28,Test project triggers reminders at correct intervals; emails delivered; idempotent under duplicate cron runs; respects user mute settings.,Done,"deadlines/reminder_engine.py (background asyncio task, configurable sweep interval, multi-tenant aware), models/deadline_notification_log.py (idempotent — prevents double-send), models/deadline_notification_settings.py (user mute prefs). Sends at T-30/14/7/1 via PostmarkEmailTransport (falls back to SMTP/MailHog in dev). deadlines/settings.py for configuration.",Kwaliteitsborger + Aannemer,Both receive email reminders — Aannemer especially for bouwmelding/gereedmelding,P0-AN,Phase 1,Email reminders at T-30/14/7/1 prevent the aannemer from missing legally critical deadlines.
30,Deadlines,6,In-app notifications,"Notification center accessible from top bar (bell icon with unread badge). Shows recent activity and upcoming deadlines. Each notification has type, severity, project link, timestamp, read/unread state. Real-time push not required for MVP (polling every 60s is fine). Group similar notifications (e.g., '5 inspections completed today on Project X'). Provide 'mark all as read' and per-notification mute. This is also where v2 evidence-chain warnings will surface, so design the data model to be extensible.",P0,1,28,User sees unread count badge; notifications group sensibly; mark-as-read works; mute does not lose audit trail.,Done,"Notification + NotificationRead tables exist. REST + WebSocket endpoints in routers/notifications.py + ws_notifications.py. NotificationEventType: deadline_upcoming, deadline_missed, finding_created, finding_resolved, invitation_sent, invitation_accepted. NotificationsBell.tsx in portal header with unread badge count + grouping logic. features/notifications/ with useNotifications hook. Deadline producers wired via reminder_engine (#29). Tests: test_notification_event_types.py. REMAINING: per-notification mute UI; finding/invitation event producers (gated on #25/#8 domain objects).",Kwaliteitsborger + Aannemer,Both see in-app notifications for deadlines and activity,P0-AN,Phase 1,In-app deadline notifications keep aannemer aware across all their projects.
31,PDF Generation,7,Borgingsplan PDF template,"Filing-ready PDF template suitable as bouwmelding attachment. Cover page with project info, kwaliteitsborger name and registration, instrument used, date. Sections: risicobeoordeling table, borgingsmomenten timeline, checklist items per moment, signature block. Match the visual style expected by the chosen instrumentaanbieder (some have specific layout requirements). Use Puppeteer with HTML/CSS templates rather than a PDF library directly — easier to iterate on design. Generate Dutch text only for MVP.",P0,1.5,"14,17",Generated PDF accepted as bouwmelding attachment in test submission; matches instrumentaanbieder layout if specified; reproducible (same input yields same PDF).,Not Started,,Kwaliteitsborger (generates) → Aannemer (files),KB generates borgingsplan PDF; Aannemer downloads it for bouwmelding filing,P2-Deferred,Last,KB generates this PDF — deferred to end of backlog.,Borgingsplan PDF is generated by KB. Aannemer receives it as upload or from KB in system.
32,PDF Generation,7,Verklaring kwaliteitsborger PDF,"Short, formal declaration document at project completion. Contains: kwaliteitsborger details (name, KvK, instrument registration), project ID, project address, declaration text ('Hierbij verklaart [naam] dat het bouwwerk voldoet aan...'), date, electronic signature placeholder, audit ID hash. Less than 2 pages. Tone is legal, not friendly. Once signed, locked: no further edits, only revocation. The verklaring is what legally allows the building to be occupied — it is the highest-stakes document in the system.",P0,1,31,PDF generated with all required fields; locked from edit after signing; revocation creates a versioned superseding declaration; legally reviewable text.,Not Started,,Kwaliteitsborger,KB signs the verklaring — only they have this legal authority,P2-Deferred,Last,Verklaring is KB's document — deferred to end of backlog.,Verklaring is KB's document. Aannemer receives it at project completion.
33,PDF Generation,7,Dossier bevoegd gezag PDF,"The big one — the full evidence package for the gemeente at gereedmelding. Contains: cover page, table of contents, project info, instrument details, risicobeoordeling, full borgingsplan, every inspection with photos, every finding with resolution evidence, certificates referenced, kwaliteitsborger verklaring. Often 50-200 pages. Generated asynchronously due to size — queue the job, email when ready. Embedded photos at print-quality resolution but optimized to keep total under ~50MB. Include page numbers, headers with project ID, footer with generation timestamp.",P0,2,"16,25,31",Multi-page PDF with embedded photos and structured sections; under 50MB for a typical project; generation completes within 5 minutes; emailed when ready.,Not Started,,Kwaliteitsborger (generates) → Aannemer (files),KB generates the dossier; Aannemer downloads and files with gemeente at gereedmelding,P0-AN,Phase 3,"Dossier bevoegd gezag: aannemer needs this generated for gereedmelding filing. In contractor-first mode, it bundles all uploaded documents into a filing package."
34,PDF Generation,7,PDF generation pipeline,"Server-side rendering pipeline using Puppeteer (HTML→PDF) or react-pdf. Job queue (BullMQ on Redis, or pg-boss on Postgres) so large dossier generation doesn't block API. Reproducible: same input data produces byte-identical PDF (important for evidence). Storage: write to S3 with versioned keys. Cleanup: failed jobs retried twice, then surfaced to user with error reason. Monitor queue depth and generation time — large dossiers can balloon and you'll want metrics from day one.",P0,1.5,31,Same input produces same PDF byte-for-byte; jobs queued and retried; large dossiers generate within 5 minutes; failed jobs surface error to user.,Partial,"Compliance report pipeline fully working: BullMQ on Redis, Job table (JobType.compliance_report), processor Puppeteer rendering (apps/processor/src/pipeline/report/), MinIO upload, Report model with status lifecycle (queued/running/ready/failed), routers/reports.py + ComplianceReportsSection.tsx. Report model already reserves slots for assurance_plan/completion_declaration/dossier (commented in ReportType enum). REMAINING: add ReportType values + processor templates for #31/#32/#33.",Platform,Infrastructure — PDF pipeline serves both users' generated documents,P0-AN,Phase 3,PDF pipeline serves dossier generation for aannemer's gereedmelding filing.
35,Storage & Retention,8,Document storage with immutable versioning,"All photos, PDFs, IFCs, certificates stored in EU S3 (or equivalent) with object versioning enabled. Uploading a file with the same logical name does NOT overwrite — it creates a new version row in the documents/document_files tables. Old versions retained indefinitely (soft-delete only). Use signed URLs with short expiry (15 min) for downloads — never expose raw S3 keys. Encrypt at rest with KMS. This combination of versioning + soft-delete + audit log is the legal foundation of the 10-year retention obligation.",P0,1.5,2,Uploading same filename twice yields two distinct version rows; both retrievable; signed URLs expire; encryption verified; audit log records every upload.,Partial,"S3/MinIO with presigned URL (15 min default), two-phase upload (initiate→PUT→complete), ProjectFile.version_number per Model, immutable storage_key. ProjectFile now carries SoftDeleteMixin (deleted_at) so the version-pinning + soft-delete pattern is consistent. NOT generic across all entity types yet (no Document table abstraction over inspection photos / certificates / etc.). KMS at-rest encryption deferred to prod infra. NEXT: introduce a generic documents/document_files pair as a follow-up — substantial work that should land alongside #47 inspection-document linking.",Kwaliteitsborger + Aannemer,Both upload and access documents; Aannemer's 10-year liability makes this critical for them,P0-AN,Phase 1,"Aannemer uploads drawings, certificates, calculations from day one. 10-year retention protects their liability."
36,Storage & Retention,8,Append-only audit log,"Every create/update/delete on key entities (projects, plans, moments, inspections, findings, documents) writes a row to an append-only audit_log table with: actor user_id, action, entity_type, entity_id, before_value (JSON), after_value (JSON), timestamp, IP, user_agent. The table has no DELETE or UPDATE permissions in the database role used by the app — only INSERT. Backups of this table go to a separate cold storage. This is the foundation of evidentiary defense for the contractor's 10-year liability.",P0,1,6,Audit log entries cannot be modified or deleted via API or app DB role; backed up separately; queries by entity show full history; legal review confirms tamper-evidence.,Mostly Done,"AuditLog model in models/audit_log.py (MasterBase/public schema): user_id, impersonator_user_id, organization_id, action (dotted code), resource_type, resource_id, before/after JSONB, request_id, ip_address, user_agent, created_at. audit.py helper: record() with redaction (REDACT_FIELDS_BY_TABLE), request-context extraction, impersonator auto-resolution. Indexes: org+time, user+time, resource, action+time, impersonator+time. All domain routers wired: risks.py (risk.created/updated/deleted), borgingsplan.py (13 actions — plan lifecycle + moment + checklist-item), projects.py (project + member mutations), inspection.py (start/submit/complete). Permission denials logged via log_permission_denied() in a separate master session (survives tenant-txn rollback). Tests in tests/test_audit_wiring.py (5 cases). List endpoints in admin_organizations.py and organization_members.py. REMAINING: DB-level REVOKE DELETE/UPDATE on audit_log FROM bim_app (infrastructure migration); cold-storage backup of audit_log table.",Platform,Infrastructure — audit log protects both users legally but neither interacts with it directly,P0-AN,Phase 2,Audit log is the aannemer's legal defense in defect disputes. Every action is tamper-evident evidence.
37,Storage & Retention,8,Soft-delete implementation,"Add `deleted_at` timestamp to every domain table. Default queries filter out soft-deleted rows. Admin tools can show/restore them. Hard-delete only allowed by superuser admin command, logged separately, and only for GDPR right-to-erasure requests (rare and special-case). 'Delete' in the UI always means soft-delete. The 10-year retention regime requires that nothing important truly disappears, even when users intend to remove it.",P0,0.5,36,All entity 'deletes' set deleted_at; default queries hide them; admin can restore; hard-delete requires superuser command and logs separately.,Mostly Done,SoftDeleteMixin shipped (apps/api/src/bimstitch_api/models/_mixins.py) — nullable deleted_at + is_deleted property + idempotent soft_delete()/restore() helpers. Applied to Model + ProjectFile. Project keeps its richer lifecycle_state (active/archived/removed) state machine. Alembic g1h2i3j4k5l6 adds the columns + partial indexes (ix_models_active / ix_project_files_active) for the common active-rows query. Purely additive — legacy queries that don't filter on deleted_at keep working. Tests: test_soft_delete_mixin.py (6 cases incl. idempotency). NEXT: wire UI-level 'delete' calls on Model/ProjectFile to call soft_delete() instead of DELETE; extend to Risk/Borgingsplan/Borgingsmoment/ChecklistItem when those acquire UI deletes.,Platform,Infrastructure — soft-delete protects the 10-year evidence chain for both,P0-AN,Phase 2,Soft-delete protects the 10-year evidence chain. Nothing the aannemer uploads can truly disappear.
46,Documents & Viewers,9,Inline PDF viewer (PDF.js),"Browser-based PDF viewer using Mozilla's PDF.js. Embed in document detail page and as modal overlay from inspection/finding screens. Support: zoom (pinch and buttons), pan, page navigation, full-text search within doc, page thumbnails sidebar. Mobile-optimized — viewing a tekening on a phone needs gesture-based zoom that actually works. Lazy-load page rendering for large PDFs. Print/download buttons should respect document immutability (don't allow editing the original).",P0,1,35,User opens any uploaded PDF in-app on phone or desktop without downloading; pinch zoom works; large PDFs (>50 pages) don't freeze browser.,Done,"DocumentViewer.tsx (pdfjs-dist): zoom (Ctrl/Meta+wheel, pinch, buttons), pan (middle-mouse, drag tool), page navigation (PagesPanel sidebar), full-text search (searchText with per-doc cache, Search toolbar group), rotation, fit-page/fit-width/actual-size, keyboard shortcuts (useDocumentShortcuts). Two-finger touch pinch for mobile. Lazy page loading via disableAutoFetch. Viewer route at /(viewer)/projects/[id]/models/[id]/viewer/[fileId] dispatches by file_type. ViewerStatusBar for zoom%/rotation/tool picker. Tests: DocumentToolbar.test.tsx (3 cases). Text-layer highlight rendering DONE: PDF.js TextLayer renders transparent text spans over canvas (text selection + search highlighting). Search matches highlighted yellow (bq-highlight), active match orange (bq-highlight active). Match-level prev/next navigation with '{current} / {total}' counter. CSS in globals.css (bq-text-layer class). Toolbar updated for match-level stepping (globalToLocal helper). Props: searchHighlight + onPageMatchCount on DocumentViewer, onSearchHighlightChange on DocumentToolbar. Tests: 3/3 passing. DEFERRED: modal-overlay from inspection/finding screens (gated on #25).",Kwaliteitsborger + Aannemer,"Both view uploaded PDFs (drawings, certificates, calculations) inline",P0-AN,Phase 1,"Aannemer views drawings, certificates, calculations inline. No need to download and open separately."
47,Documents & Viewers,9,Reference document from inspection or finding,"From an inspection or bevinding, link existing project documents (drawings, certificates) as references — NOT duplicates. Implement as an `inspection_documents` and `finding_documents` join table. Show linked docs as thumbnails on the inspection/finding detail; tap to open in inline PDF viewer. This is how a kwaliteitsborger says 'this fire-rating check was done against this certificate'. Important for the dossier bevoegd gezag — the generated PDF must show these explicit links between checks and supporting evidence.",P0,0.5,"46,25",Finding/inspection page shows linked docs as thumbnails; opening renders file in PDF viewer; links saved to join table; dossier PDF includes them.,Not Started,,Kwaliteitsborger (links) · Aannemer (views),KB links certificates/drawings to inspections as evidence; Aannemer sees the links,P1-AN,Phase 2,Aannemer links certificates to findings as resolution evidence. Critical for dossier completeness.
48,Documents & Viewers,9,IFC viewer integration,"Integrate your existing IFC viewer component into the project detail view. Upload .ifc files via the same document pipeline (kind='model'). Render in the viewer pane on a dedicated 'Modellen' tab and as a modal from inspection screens. Support: 3D navigation, element selection, layer/category visibility toggles. Performance: large IFCs (>200MB) need progressive loading or downsampled preview. Reuses your existing viewer code so this is integration work, not viewer-building work.",P0,2,35,"User uploads .ifc, opens viewer, navigates 3D model on desktop and tablet; large files load progressively; element selection works.",Done,"packages/viewer (ThatOpen + Three.js) with plugin architecture (camera, selection, hover, viewcube, effects, pivot-rotate, magnifier). Dedicated /viewer route, ModelsTab on project detail, fragments worker pipeline. Element selection + properties panel + classes/stories tree. IFC extraction microservice produces .frag bundles.",Kwaliteitsborger + Aannemer,Both can navigate the 3D model; KB links elements to inspections,P1-AN,Phase 2,Aannemer views IFC model to understand the building and reference during finding resolution.
49,Documents & Viewers,9,IFC element linked to inspection,"When an inspector clicks an element in the IFC viewer, they can create or open an inspection for that element. The inspection record stores the IFC element GUID and the document_id of the IFC file. Findings can also reference elements. Reverse: clicking an element shows all related inspections/findings. This is the bridge to BIM-native workflows in v2 — you're not yet doing automated rule-checks against BIM properties, but the link is in place. Optional in MVP: skip if Week 9 runs tight.",P1,1.5,"48,25",Tapping a wall in the model shows inspections that reference it; creating an inspection from an element pre-fills the link; findings show their linked elements.,Done,"API: GET /projects/{pid}/files/{fid}/element-inspections?global_id={gid} endpoint (routers/element_inspections.py) returns linked ChecklistItems with results + moment context. Partial index ix_checklist_items_element_link on (linked_file_id, linked_element_global_id). Alembic tenant migration 0002_element_link_idx. 7 tests in test_element_inspections.py. Portal: InspectionsPanel.tsx + InspectionItemRow.tsx in features/viewer/inspections/. SidePanel wired with inspectionsContent prop. SideRail updated to ClipboardCheck icon + 'Inspections' label. Reverse navigation: clicking row re-selects element in 3D via useViewerEntityStore.select(). Bilingual i18n strings (viewerInspections) in en.json + nl.json. DEFERRED: 'Create inspection for element' action (requires borgingsplan picker dialog), finding-to-element linking (#25 not started).",Kwaliteitsborger,KB clicks IFC element to create/view linked inspections — BIM-native workflow,P1-AN,KB Layer,IFC element → inspection linking is KB's BIM-native workflow. Not relevant for aannemer standalone.
7,Multi-user Collaboration,10,User roles definition,"Define and enforce the role system: kwaliteitsborger (full inspect/sign), aannemer (read all, write inspections, mark findings resolved), opdrachtgever (read most), viewer (read minimal). Build a permission matrix mapping (role, resource, action) → allow/deny. Apply via middleware on every endpoint. Test exhaustively — write integration tests for every role × every endpoint. Critical: only the kwaliteitsborger can sign the verklaring; this is a legal constraint, not a UI suggestion. Audit log records role-related denials separately for security review.",P0,1.5,6,Permission matrix documented; integration tests pass for every role × endpoint combination; viewer cannot edit; only kwaliteitsborger can sign verklaring; denials logged.,Done,"ProjectRole enum: owner/editor/viewer + inspector (NL: kwaliteitsborger) + contractor (NL: aannemer) + client (NL: opdrachtgever). Permission matrix at auth/permissions.py (Resource x Action x Role -> frozenset, MappingProxyType read-only). Inspector sole holder of sign on completion_declaration. require_permission() enforced across ALL routers — zero remaining _require_role call-sites: inspection.py (1), borgingsplan.py (13), models.py (3), projects.py (2), project_files.py (4), risks.py (3). Tests: test_permissions.py (432 pinned cases) + test_permissions_helper.py (4). Permission denials audit-logged via log_permission_denied() (separate master session, survives 403 rollback) — wired at all require_permission() call-sites across risks.py, borgingsplan.py, inspection.py (via _require_moment_writable), project_files.py, and models.py.",Kwaliteitsborger + Aannemer,"Role system defines what each can do: KB inspects/signs, Aannemer resolves/files",P0-AN,Phase 3,"Role system needed when aannemer invites KB. Before that, aannemer is sole owner of all projects."
8,Multi-user Collaboration,10,Project-scoped invitations,"The owner (typically aannemer) invites users by email to a specific project, choosing a role from a dropdown. Each project is its own collaboration scope — no cross-org concept yet (deferred to v1.1). Email invite contains a signed token (JWT or random token in DB), valid 14 days. Pending invites visible on project settings. Re-invite, revoke, and change-role actions supported. This is dramatically simpler than full organization-level multi-tenancy and ships in days, not weeks.",P0,1.5,"6,7",Owner invites user by email with role; invitee receives email; pending invites listed; revoke and re-invite work; expired invites can be regenerated.,Done,"Org-level invitations: me_invitations.py (accept/decline/resend), email/invites.py (activation + notification emails), invitation_expiry.py (14-day TTL sweeper), guest project assignments, membership rules (last-admin invariant, seat counting). Portal: InvitationsPanel, InviteMemberDialog, MembersTable with status badges. Project-scoped: POST /projects/{project_id}/invitations in routers/projects.py (lines 799-971) — handles 3 scenarios (new_user, new_org_member, existing_org_member) with email notifications per scenario. ProjectInvitationCreate schema (email, role, full_name) in schemas/project.py.",Kwaliteitsborger + Aannemer,Either can invite the other to a project with a specific role,P0-AN,Phase 3,Aannemer invites KB to their project. This is the moment the contractor-first app upgrades to collaborative.
11,Multi-user Collaboration,10,Invitation acceptance & onboarding,"Invitee clicks email link → if not signed up, signup flow with email pre-filled; if signed up, log in. Accept invite → joined to project with assigned role → redirected to project dashboard with a brief tour ('You've been invited as a kwaliteitsborger. You can do X, Y, Z.'). Mark invite as accepted in audit log. Edge cases: invite to wrong email, invite already accepted, invite expired — all should have clear, actionable error messages. First-time user experience matters: this is the moment your champion's colleague decides if your tool is good.",P0,1,8,Invitee completes signup and lands on the project they were invited to; sees their role and what they can do; edge cases handled with clear messages.,Done,"Full accept/decline/resend flow: POST /me/invitations/{org_id}/accept|decline, GET /me/invitations, bootstrap auto-accept on first login (1 pending + 0 active → auto-join). Email: activation email for new users, invite-notification for existing verified users (email/invites.py). Expiry: 14-day TTL + InvitationExpirySweeper background task. Frontend: InvitationsPanel (list + accept/decline cards), InviteMemberDialog, MembersTable with status badges + context menus. Membership rules: last-admin invariant, seat counting (pending counts), guest constraints, self-action guard. Audit: per-action entries (invited, accepted, declined, expired, resent). Tests: test_invitations.py, test_invitation_expiry.py, test_membership_rules.py, test_org_guests.py. Notification events: emit_notification_for_org() emits invitation_sent (org-level in organization_members.py + project-scoped in projects.py) and invitation_accepted (me_invitations.py); tests in test_invitation_notifications.py. Post-accept onboarding tour: WelcomeDialog.tsx shows after accept with org name + role-specific capabilities (admin: manage team/create projects/full access; member: view projects/upload docs/track findings); bilingual nl+en strings under 'onboarding' key; 'Get started' CTA navigates to /projects.",Kwaliteitsborger + Aannemer,The invited party (KB or Aannemer) accepts and lands on the shared project,P0-AN,Phase 3,KB accepts aannemer's invitation and joins the project. The upgrade to collaborative mode.
50,Multi-user Collaboration,10,Activity feed per project,"On the project dashboard, show a feed of recent activity: 'Jan logged inspection at fundering, 2 hours ago', 'Marije created bevinding #12, yesterday'. Built on the audit log. Filter by user, by entity type, by date range. Limit to last 90 days for performance; older history accessible from the audit page. This is also what reassures the kwaliteitsborger that the aannemer is actively working — and reassures the aannemer that the kwaliteitsborger is engaged. Soft, but it keeps people in the product.",P1,1,"7,36","Project dashboard shows last 20 activity events with actor, action, time; filters work; performance acceptable on a 6-month-old project.",Not Started,Blocked by #36 audit log.,Kwaliteitsborger + Aannemer,Both see what the other has done — builds coordination and trust,P1-AN,Phase 3,Activity feed reassures aannemer that KB is engaged. Important for trust but not blocking.
38,Commercial,11,Subscription billing (Mollie),"Integrate Mollie for SEPA Direct Debit, iDEAL, and credit card. Set up subscription products matching pricing tiers. Webhooks update org subscription status (active, past_due, canceled). Handle dunning (failed payments) gracefully — 3 retries over 14 days before suspension. Use Mollie because it's Dutch, supports iDEAL natively, and Dutch B2B buyers expect it. Stripe is fine as a fallback but iDEAL support there is less native. Test with Mollie's sandbox before going live.",P0,2,6,"User subscribes, upgrades, cancels successfully via test cards; webhooks update org status; failed payments trigger dunning; sandbox tests pass.",Not Started,,Kwaliteitsborger + Aannemer,Both subscribe — KB plans and Aannemer plans priced separately,P0-AN,Phase 4,Aannemer subscribes and pays. iDEAL/SEPA are expected by Dutch contractors.
39,Commercial,11,Pricing tiers configuration,"Three tiers as discussed: Starter (€399/mo, 1 inspector or 3 active projects), Professional (€899/mo, 5 inspectors or 15 projects), Business (€1,899/mo, 15 inspectors or 50 projects). Limits enforced server-side: when user tries to add a 4th project on Starter, friendly upgrade prompt instead of error. Counts based on active (not archived) projects. Annual prepay option with 15% discount. Configure in code so changes are version-controlled, but make values easily updatable.",P0,1,38,Limits enforced when user exceeds plan; upgrade prompt shown with one-click flow; annual discount applied correctly; configuration version-controlled.,Not Started,,Kwaliteitsborger + Aannemer,Different tier limits for KB (by inspectors) vs Aannemer (by projects),P0-AN,Phase 4,Aannemer pricing tiers enforced (by active project count).
40,Commercial,11,"Privacy, ToS, DPA templates","Three legal documents: Privacy Policy, Terms of Service, and Data Processing Agreement (DPA). The DPA is the one Dutch B2B buyers WILL request before signing — have it ready as a PDF and editable Word doc. Get all three reviewed by a Dutch IT-law specialist (€500-1500 one-time). Cover: GDPR specifics, EU-only data residency, retention policy, sub-processors (Mollie, Postmark, S3 host), incident response, customer's controller obligations. Publish on website footer and in app settings.",P0,1,-,Documents reviewed and signed off by Dutch IT-law specialist; published on site; DPA is sendable to customers as PDF or Word.,Mostly Done,"Dutch + English placeholder routes at /[locale]/legal/{privacy,terms,dpa}. Shared layout with prominent 'concept – nog te beoordelen' draft banner + cross-page nav. Footer link from login page (AuthHeroBrand). DashboardFooter component (apps/portal/src/components/DashboardFooter.tsx) added below dashboard content with Privacy / Terms / DPA links + year copyright, bilingual nl/en strings under dashboardFooter in messages/*.json — every authenticated screen now has the DPA one click away. Tests: DashboardFooter.test.tsx (2 cases: en/nl labels resolve and link). REMAINING: Dutch IT-law specialist review of the copy, sendable PDF/Word DPA for procurement.",Platform,Legal documents — required for both buyer types,P0-AN,Phase 4,DPA required by aannemer procurement. Must be ready before first commercial sale.
41,Commercial,11,Founder admin panel,"Internal-only page accessible only to the founder. Capabilities: list all organizations, view any project, reset user passwords, impersonate a user (with mandatory reason and full audit log), suspend an organization, manually adjust subscription. Build cheap — Retool, Forest Admin, or a basic password-protected Next.js page. Without this, every customer support request becomes 'can you screenshot what you see?' — which is brutal. Impersonation MUST log to audit so customers can see if their account was accessed.",P0,1,"6,36",Founder can debug a customer issue without asking for credentials; impersonation events are logged to that customer's audit log.,Done,"API: admin_impersonate.py (start/stop with mandatory reason, audit log, imp JWT claim, impersonator_user_id on AuditLog), admin_organizations.py (list all orgs, view any project, audit log listing, org suspension). is_superuser flag on User model. Auth dependency resolves impersonator from token. Portal: /admin route group with Organizations page (CRUD, suspend/activate, seat usage), Users page (search, activate/deactivate, promote/demote superuser), Audit Log page (filter by action/resource/user/org/date). Password reset deliberately omitted — users self-service via /auth/forgot-password (rate-limited, email-verified); admin impersonation covers support edge cases. Subscription adjustment deferred to #38 Mollie integration.",Platform (founder),Internal admin tool — founder supports both KB and Aannemer customers,P0-AN,Phase 4,Founder admin needed to support aannemer customers.
