ID,Phase,Week,Feature,Description,Priority,Effort (days),Dependencies,Acceptance Criteria,Status,Evidence / Notes,Primary User,Role Detail,Aannemer Priority,Contractor-First Phase,Aannemer Usage
42,Operations,12,Error tracking (Sentry),Sentry SDK in both frontend and backend. Source maps uploaded on each deploy so production errors show TypeScript line numbers. Alerts to Slack/email on new error fingerprints. Tag errors with org_id and project_id to triage by impact. Configure release tracking so you know which deploy introduced a regression. Free tier covers a small startup; upgrade only when you exceed quotas. Don't skip this — silent errors in compliance software are catastrophic.,P0,0.5,1,Test error appears in Sentry within 1 minute; source maps resolve correctly; new errors trigger Slack alert; release tracking shows current version.,Mostly Done,"Portal: @sentry/nextjs installed; sentry.{client,server,edge}.config.ts + src/instrumentation.ts; next.config.mjs wrapped with withSentryConfig (only when DSN set); tunnelRoute='/monitoring'. Release tag auto-resolves from SENTRY_RELEASE → VERCEL_GIT_COMMIT_SHA → GITHUB_SHA → GIT_SHA at both runtime (all three Sentry configs) and source-map upload time (next.config.mjs sentryWebpackOptions.release) so events match uploaded maps without manual wiring. SENTRY_AUTH_TOKEN forwarded into the webpack plugin. API: sentry-sdk[fastapi] installed; observability.init_sentry() called from create_app() with FastApiIntegration + StarletteIntegration + AsyncioIntegration. New observability.resolve_release() walks the same CI-env precedence as the portal. Both env-gated (no-op without DSN). Tests: test_observability.py (5 cases on the resolver). REMAINING: real DSN/org/project in deployment env, Slack alert wiring in the Sentry UI, real SENTRY_AUTH_TOKEN secret in CI.",Platform,Infrastructure — error tracking protects product quality for all users,P0-AN,Phase 4,Error tracking protects product quality for aannemer users.
43,Operations,12,Transactional email (Postmark),"All transactional emails (auth, invites, deadline reminders, billing) routed through Postmark with branded templates. Postmark is preferred over SES because it handles deliverability and you'll be sending compliance-critical reminders that MUST land in inbox, not spam. Set up SPF, DKIM, DMARC for your sending domain. Use Postmark's link tracking carefully — some compliance buyers don't want their email clicks tracked, so make it a per-tenant config later.",P0,1,29,Emails delivered to test addresses with <1% bounce; SPF/DKIM/DMARC pass on mail-tester.com; templates branded; reminder emails arrive on time.,Partial,PostmarkEmailTransport adapter shipped in apps/api/src/bimstitch_api/email/transport.py (httpx → POST https://api.postmarkapp.com/email). Selected at startup via EMAIL_TRANSPORT=postmark; falls back to SMTPEmailTransport for dev/MailHog. Settings: POSTMARK_SERVER_TOKEN, POSTMARK_MESSAGE_STREAM. Unit tests in tests/test_postmark_transport.py. REMAINING: Postmark account + server token, branded templates,P0-AN,Phase 4,"Aannemer receives deadline reminders, billing, and invite emails via Postmark.","Both receive transactional emails (invites, reminders, billing)",P0-AN,Phase 4,"Aannemer receives deadline reminders, billing, and invite emails via Postmark."
44,Operations,12,Daily automated backups,Postgres point-in-time recovery enabled (most managed providers do this) plus daily logical dump exported to a separate region (cross-EU). S3 versioning + cross-region replication for documents. Quarterly restore test: spin up a sandbox from yesterday's backup and verify data integrity. Document the restore procedure so anyone (not just you) can execute it. Backup failures must alert immediately. The 10-year retention obligation makes backup discipline non-optional.,P0,1,"3,35",Daily backups run automatically; cross-region copy verified; restore test passes within 1 hour; runbook documented.,Not Started,,Platform,Infrastructure — backups protect the 10-year evidence for both,P0-AN,Phase 4,Backups protect the aannemer's 10-year evidence chain.
45,Operations,12,Onboarding tour,First-time user walkthrough that gets them to value in <30 minutes: create project → pick instrument → generate borgingsplan from template → log first inspection → see generated borgingsplan PDF. Use a library like Shepherd.js or Driver.js or build with simple modals. Skippable but persistent until completed. Track completion as a funnel metric — drop-off here is your single most actionable adoption signal. Most B2B SaaS lives or dies in the first session.,P0,1.5,"12,17,19,33",New user reaches first generated PDF within 30 minutes from signup; tour completion is tracked; tour can be re-launched from help menu.,Not Started,,Kwaliteitsborger + Aannemer,Both get an onboarding tour — different emphasis per role,P0-AN,Phase 4,Aannemer onboarding tour: create project → set dates → see deadlines → upload first document → see dossier progress.
,,,,,,,,,,,,,,,
--- ALREADY-BUILT ITEMS (Pre-MVP) ---,,,,,,,,,,,,,,,
A1,BIM Foundation,Pre-MVP,IFC extraction microservice,"Standalone Fastify + BullMQ Node service (apps/extractor). Reads IFC from MinIO, parses with web-ifc, generates .frag bundle via @thatopen/fragments, extracts metadata + properties, uploads 3 artifacts back. Callbacks to API on running/succeeded/failed.",-,-,-,Already shipped — used as the upstream of the IFC viewer pipeline.,Done,apps/extractor; Dockerfile; queue 'ifc-extraction' on Redis; shared-secret auth between API and extractor.,Platform,Infrastructure — IFC extraction pipeline feeds the viewer,KB-only,KB Layer,IFC extraction is platform infrastructure for the viewer.
A2,BIM Foundation,Pre-MVP,IFC viewer (ThatOpen + Three.js),"packages/viewer with a plugin architecture (Plugin interface, PluginManager, EventBus, CommandRegistry). Built-in plugins: camera, selection, hover-highlight, keyboard-shortcuts, mouse-bindings, viewcube, effects, pivot-rotate, magnifier. Imperative ViewerHandle ref. WASM + fragments worker auto-copied via predev/prebuild hook.",-,-,-,Already shipped.,Done,"Listed under #48. Recent commits show ongoing polish: pivot-rotate, magnifier, near/far plane, page navigation, sidebar collapse.",Kwaliteitsborger + Aannemer,Both can navigate the 3D model,P1-AN,Phase 2,Aannemer can view 3D model to understand the building.
A3,Compliance,Pre-MVP,BBL/WKB compliance checker integration,"API connects to arbiter MCP server, queues compliance jobs (JobType.bbl_compliance_check / wkb_compliance_check), persists results, exposes summary/domain/article/trend endpoints to portal. Portal renders ComplianceHealthCard, ComplianceByDomainCard, ComplianceDonut, ComplianceBar, TrendSparkline, IssuesTab with element highlighting in IFC viewer.",-,-,-,Already partial-shipped — drives the dashboard.,Done (rules library separate),This is the rule-based engine — distinct from the kwaliteitsborger workflow on the backlog. Format-agnostic taxonomy per memory note.,Kwaliteitsborger (primary),Automated BBL/WKB rule checking — KB reviews results; future: Aannemer sees summary,KB-only,KB Layer,Automated BBL/WKB compliance checking is KB's domain.
A4,Project Shell,Pre-MVP,Project → Model → ProjectFile hierarchy,"Three-level model: Project owns Models (per discipline), Models own ProjectFiles (versioned uploads). Lets one project track multiple disciplines (architectural / structural / MEP) with independent file versions per discipline.",-,-,-,Already shipped.,Done,models/model.py with ModelDiscipline enum; ProjectFile.version_number unique per Model.,Platform,Infrastructure — Project → Model → File hierarchy,P0-AN,Phase 1,Infrastructure — project/model/file hierarchy used by aannemer's document uploads.
A5,Project Shell,Pre-MVP,Contractor entity + linkage,Contractor table linked to Project via contractor_id. CRUD endpoints + portal step in project wizard.,-,-,-,Already shipped.,Done,Useful for #8 invitation flow (invite contractor's team).,Aannemer,Contractor entity linked to project — Aannemer's company profile,P0-AN,Phase 1,This IS the aannemer. Contractor entity linked to project.
A6,Project Shell,Pre-MVP,BAG/PDOK address autocomplete + map preview,Portal integrates PDOK Locatieserver for Dutch address lookup → fills street/house_number/postal_code/city/municipality/bag_id. Lat/lng stored on Project; aerial map thumbnail rendered free from PDOK.,-,-,-,Already shipped.,Done,"lib/api/pdok.ts, AddressLookup.tsx, AddressMapPreview.tsx, mapThumbnail.ts.",Kwaliteitsborger + Aannemer,Both benefit from Dutch address autocomplete during project creation,P0-AN,Phase 1,Aannemer uses address autocomplete when creating projects.
A7,Project Shell,Pre-MVP,Project creation wizard,"Multi-step wizard: StepBasics → StepAddress → StepContractor → StepDetails. Already a proven pattern to extend with instrument selection (#10), gevolgklasse, bouwwerk type.",-,-,-,Already shipped.,Rework Planned,"[AANNEMER PIVOT] Wizard reorder: Basics → Address → Details. Contractor step removed. Instrument made visually optional with KB-will-select placeholder. || Original: features/projects/wizard/.",Kwaliteitsborger + Aannemer,Both use the project creation wizard,P0-AN,Phase 1,Aannemer uses project creation wizard as their entry point.
A8,Operations,Pre-MVP,Job tracking + WebSocket notifications,"Generic Job table with JobStatus/JobType enums, real-time progress over WebSocket via NotificationManager + Redis pub/sub. Used by extraction & compliance. Reuse for PDF generation (#34) and email reminder runs (#29).",-,-,-,Already shipped.,Done,"models/job.py, notifications/manager.py, ws_notifications router.",Platform,Infrastructure — job tracking for async tasks,P0-AN,Phase 3,Job tracking needed for PDF generation and email reminder scheduling.
A9,Storage,Pre-MVP,Two-phase presigned upload,POST initiate → presigned PUT → POST complete with HEAD verify + IFC header parse. Keeps API off the upload path while preserving validation. Reusable for photo uploads (#20) and certificate uploads (#27).,-,-,-,Already shipped.,Done,"routers/project_files.py, ifc/header.py.",Platform,Infrastructure — file upload pipeline,P0-AN,Phase 1,"Presigned upload used when aannemer uploads drawings, certificates, IFCs."
A10,Multi-tenancy,Pre-MVP,Postgres RLS multi-tenancy,"SET LOCAL ROLE bim_app + GUCs (app.current_org_id, app.current_user_id) inside a transaction-scoped session. Every tenant query is filtered at the DB level — defence-in-depth beyond app-level membership checks.",-,-,-,Already shipped.,Done,"tenancy.py, _rls_sql.py. Hard rule documented in CLAUDE.md (don't commit inside get_tenant_session).",Platform,Infrastructure — database-level tenant isolation,P0-AN,Phase 1,Multi-tenancy ensures aannemer's data is isolated from other organizations.
A11,Auth,Pre-MVP,JWT blocklist + dual-audience tokens,Logout writes JTI to Redis with TTL = remaining lifetime. Access (audience fastapi-users:auth) and refresh (audience bimstitch:refresh) tokens are separated by audience so a refresh token can never be presented as access.,-,-,-,Already shipped.,Done,"auth/tokens.py, auth/logout.py, cache/blocklist.py.",Platform,Infrastructure — auth security,P0-AN,Phase 1,Auth security for aannemer login sessions.
A12,Portal,Pre-MVP,Compliance dashboard widgets,"KPI strip, ComplianceDonut, DossierGauge, TrendSparkline, ComplianceBar, RulesBreakdown, HoldbackUnlock, IssueDetailModal. Visual foundation that can host borgingsplan/inspection/finding KPIs once those domain objects exist.",-,-,-,Already shipped.,Rework Planned,"[AANNEMER PIVOT] ComplianceByDomainCard replaced with ProjectOverviewCard (project info, map, dates). Header KPIs swapped from compliance metrics to deadlines/documents/delivery. || Original: features/projects/detail/, components/charts/.",Kwaliteitsborger + Aannemer,Both see compliance dashboard widgets on project detail,P1-AN,Phase 3,Dashboard widgets useful when KB joins and compliance data flows in.
A13,Portal,Pre-MVP,Theme + dark mode,"ThemeProvider with light/dark variants, design tokens consumed via @bimstitch/design-tokens. Sidebar collapse toggle.",-,-,-,Already shipped.,Done,,Kwaliteitsborger + Aannemer,Both benefit from theme and dark mode,P1-AN,Phase 1,"Theme and dark mode — nice UX for aannemer, not blocking."
A14,Portal,Pre-MVP,Project archive / reactivate,Soft-delete-style lifecycle (active/archived/removed) with REST endpoints + portal mutations (useArchiveProject / useReactivateProject / useDeleteProject).,-,-,-,Already shipped — pattern to generalize for #37.,Done,,Kwaliteitsborger + Aannemer,Both can archive/reactivate projects,P0-AN,Phase 1,Aannemer archives completed projects after gereedmelding.
A15,Quality,Pre-MVP,Test scaffolding,"23 pytest files in apps/api/tests/ covering signup, login, refresh, logout, verify, rate limits, project members, RLS for projects/models/files, IFC header, contractors, jobs, extraction. Vitest in apps/extractor and portal.",-,-,-,Already shipped.,Done,"apps/api/tests/, apps/extractor/tests/.",Platform,Infrastructure — test coverage,P0-AN,Phase 1,Test scaffolding — infrastructure quality.
A16,DevOps,Pre-MVP,Docker compose dev stack,"docker-compose.yml at repo root: postgres (5434), redis (6380), minio (9000/9001), mailhog (1025/8025), extractor (8088). One command brings up the full backing stack.",-,-,-,Already shipped.,Done,,Platform,Infrastructure — development environment,P0-AN,Phase 1,Dev stack — infrastructure.
A17,Export,Pre-MVP,Compliance issues CSV export,"Per-file CSV download of BBL/WKB rule violations from the IssuesTab. Columns: rule_id, article, status, severity, element_type, element_name, element_global_id, property_path, expected_value, actual_value, message. Streams from the latest succeeded compliance job — same auth + scope as the /latest endpoint.",-,-,-,Already shipped.,Done,GET /projects/{project_id}/models/{model_id}/files/{file_id}/compliance/export.csv (apps/api/src/bimstitch_api/routers/compliance.py); apiClient.getBlob + downloadComplianceCsv (apps/portal/src/lib/api/); Download CSV button on IssuesTab; tests in apps/api/tests/test_compliance_export.py.,Kwaliteitsborger (primary),KB exports compliance issues for review or reporting,KB-only,KB Layer,Compliance issues export is KB's reporting workflow.
A18,Export,Pre-MVP,Compliance rules CSV export,"Per-file CSV download of the per-rule summary (one row per rule with pass/warn/fail/skip/error counts). Columns: rule_id, article, title, title_nl, category, severity, total_checked, passed, warned, failed, skipped, errors. Lives next to the issues CSV; useful for portfolio-level reporting where per-element rows are too noisy.",-,-,-,Already shipped.,Done,GET /projects/{project_id}/models/{model_id}/files/{file_id}/compliance/export-rules.csv (apps/api/src/bimstitch_api/routers/compliance.py); downloadComplianceRulesCsv + shared triggerBrowserDownload helper (apps/portal/src/lib/api/); Download rules CSV button on the RulesBreakdown card header; tests in apps/api/tests/test_compliance_export.py.,Kwaliteitsborger (primary),KB exports compliance rules summary for portfolio reporting,KB-only,KB Layer,Compliance rules export is KB's reporting workflow.
,,,,,,,,,,,,,,,
NEW AANNEMER-SPECIFIC ITEMS,,,,,,,,,,,,,,,
N1,Contractor Dashboard,2,Aannemer home dashboard,"The contractor's primary landing page after login. Shows: urgent deadlines across all projects (color-coded red/yellow/green), open findings needing their action, document requests from KB, dossier completeness bars per project, and recent activity feed. This is the single most important screen for the aannemer — it answers 'am I going to get in trouble?' at a glance. Must work standalone (no KB in system) and upgrade gracefully when KB joins.",P0,2,"9,28","Contractor sees all projects with deadline status, open action items, and dossier progress on one page; data loads in <2 seconds.",Done,,Aannemer,This is the aannemer's daily home screen. KB never sees this view.,P0-AN,Phase 1,Opens every morning to check: any deadlines this week? any findings to resolve? any missing documents?
N2,Contractor Dashboard,3,Dossier completeness checklist,"Template-based checklist per building type (eengezinswoning, 2-onder-1-kap, bedrijfspand) showing what documents are typically required for a complete dossier bevoegd gezag. Categories: tekeningen, constructieberekeningen, brandwerendheidscertificaten, BENG-berekening, KB documenten (borgingsplan, verklaring), inspectie-evidence. Progress bar auto-updates as documents are uploaded. When KB joins the project, the generic template is replaced by the actual borgingsplan-derived requirements — the checklist upgrades seamlessly.",P0,2,"9,35",Contractor sees a progress bar and categorized checklist of required documents; uploading a certificate moves the bar; missing items clearly flagged with upload buttons.,Not Started,,Aannemer,Aannemer's core value — 'what do I still need before gereedmelding?' Most contractors have no idea until the last week. This prevents the panic.,P0-AN,Phase 1,Checks weekly: how complete is my dossier? What's still missing? Which certificates need to be requested from suppliers?
N3,Contractor Dashboard,3,KB document inbox,"Dedicated section in the Documenten tab where the contractor uploads documents received FROM the kwaliteitsborger: borgingsplan PDF, risicobeoordeling PDF, inspectieverslagen, verklaring. Tagged as 'KB document' with received date. Auto-maps to the dossier completeness checklist (uploading borgingsplan PDF marks that checklist item as complete). Works regardless of which tool the KB uses — this is what makes the app useful even when KB is on BKapp or Excel.",P0,1,"35,N2",Contractor uploads a PDF tagged as 'borgingsplan from KB'; dossier checklist auto-marks borgingsplan as received; document viewable inline.,Not Started,,Aannemer,Bridges the gap between 'KB uses their own tool' and 'contractor needs everything in one place for gereedmelding'.,P0-AN,Phase 1,Receives borgingsplan via email from KB → uploads it here → dossier checklist updates → one step closer to gereedmelding.
N4,Contractor Workflow,3,Bouwmelding / gereedmelding filing flow,"Aannemer-facing flow to prepare and track the filing of meldingen. For bouwmelding: system shows readiness checklist (borgingsplan received? risicobeoordeling received? all required docs present?), generates a downloadable ZIP/PDF package, aannemer files on Omgevingsloket manually, returns to mark as 'ingediend' with OLO reference number. Same pattern for gereedmelding (verklaring received? dossier complete?). Deadline card turns green on filing. Filing reference stored in audit log.",P0,1.5,"28,N2",Aannemer sees readiness status for each melding; downloads filing package; marks as filed with reference; deadline status updates; audit log records the filing event.,Not Started,,Aannemer,This is the aannemer's legal responsibility. The KB prepares documents; the aannemer files them with the gemeente.,P0-AN,Phase 1,3 days before bouwmelding deadline → opens filing flow → sees 'all documents ready' → downloads package → files on Omgevingsloket → enters reference → done.
N5,Contractor Workflow,4,Manual finding entry by aannemer,"Aannemer creates findings manually from the KB's inspection report (received as PDF or email, not in the system). Fields: description, severity, category (from Bbl categories), deadline, photos, linked documents. This is the contractor-first alternative to item #25 (auto-created from KB's failed inspections). When KB joins the system later, auto-creation supplements manual entry — both paths feed the same finding lifecycle. Important: the aannemer is logging what THEY need to fix, not doing the KB's job.",P0,1,9,"Aannemer creates a finding with description, severity, deadline; finding appears in project's findings tab; resolution workflow (#26/#27) applies identically to manual and auto-created findings.",Done,"Finding model + CRUD endpoints (POST/GET/PATCH/DELETE /projects/{id}/findings) + FindingFormDialog + FindingDetailModal + BevindingenTab + promotion workflow (draft→open requires deadline+assignee) + status lifecycle (draft/open/in_progress/resolved/verified) + notifications on promotion + audit trail + tenant isolation. RESOLVED: (1) contractor role granted Action.create on Resource.finding (read+create+update, no delete — mirrors inspector) so the aannemer-first flow returns 201 instead of 403; (2) photo_ids exposed in FindingCreate/FindingUpdate/FindingRead schemas + portal upload/thumbnail/remove UI (FindingPhotos) in create dialog and detail modal. Tests updated: contractor-create + photo_ids round-trip in test_findings.py; permission matrix in test_permissions.py.",Aannemer,KB emails inspection report → aannemer reads it → logs findings in BIM Dossier → tracks resolution → uploads evidence. Works without KB in the system.,P0-AN,Phase 2,Receives KB inspection report (PDF/email) → opens project → clicks 'Nieuwe bevinding' → fills in what needs to be fixed → assigns to foreman → tracks until resolved.
N6,Contractor Workflow,4,Certificate expiry warnings,"Automatically surface certificates with valid_until dates approaching expiry. Dashboard shows 'X certificates expire within 60 days'. Project dossier tab flags expired certificates with a red badge. Uploading a new version (refreshed certificate) clears the warning. If an expired certificate is referenced in a filed dossier, show a prominent warning. This is a cheap feature (~0.5 day) with disproportionate value — expired certificates are a common silent compliance failure.",P0,0.5,"35,N2",Certificate with valid_until < today+60d shows warning on dashboard and dossier tab; expired certificates show red badge; uploading a fresh version clears the warning.,Partial,"PARTIAL — WS2 shipped the foundation: Certificate.valid_until column plus list filters ?expired=true and ?expiring_before=<date> (routers/certificates.py), and a per-row red/amber/green expiry badge in CertificatesTab (getCertificateExpiryState, 30-day amber window). REMAINING: the dashboard 'X certificates expire within 60 days' aggregate (see post-MVP P2) and the expired-cert-in-filed-dossier prominent warning.",Aannemer,"Aannemer manages the certificate library. KB may flag missing certs, but the aannemer collects them from suppliers.",P0-AN,Phase 2,Sees '2 certificates expiring soon' on dashboard → clicks through → requests refreshed certificate from supplier → uploads → warning clears.
N7,Contractor Workflow,4,First-class Certificate entity (typed proof library),"Typed, filterable, expiry-aware certificate object — CE/DoP product certs, installation test reports, inspection certs, warranties — replacing generic attachments as the proof-of-conformity carrier for the Wkb dossier. Project-scoped now; the structured fields (type/number/issuer/validity) are library-ready for the Phase 2 org-owned reusable library (P5).",P0,2,35,"Contractor uploads a typed certificate with issuer/number/validity; list filters by type and by expiry; cross-project isolation 404s; client/viewer cannot create; the expiry badge reflects valid_until.",Done,"WS2 shipped. models/certificate.py (CertificateType product/installation_test/inspection/warranty/other + pending/ready/rejected status; mirrors Attachment upload columns plus structured fields valid_from/valid_until/issuer/certificate_number/subject and optional model linkage), schemas/certificate.py, routers/certificates.py (two-phase presigned upload; list with certificate_type + expiring_before + expired filters; download disposition attachment|inline; PATCH/DELETE; cross-project 404). Migration 0004_tenant_certificates. Resource.certificate added to the permission matrix (owner/editor read-write-delete, contractor read-write, inspector/viewer/client read). Portal: CertificatesTab + CertificateUploadDialog + red/amber/green expiry badge + new Certificaten tab in RightColumnTabs; bilingual certificates.* keys in en.json + nl.json. 20 tests in test_certificates.py; full API suite 741 passed; migration up/down reversibility verified.",Aannemer,Aannemer collects certificates from suppliers and owns the library; KB consumes them as evidence (read-only).,P0-AN,Phase 2,Uploads product/installation/inspection certificates from suppliers; filters by type; sees expiry status — the proof-of-conformity backbone of his dossier.
N8,Documents & Viewers,9,.ifcZIP (compressed IFC) ingestion,"Accept compressed IFC (.ifcZIP) end-to-end. Real model exchange routinely ships zipped IFC; the upload allowlist previously accepted only plain .ifc. The schema cannot be STEP-header-sniffed at the API (a zip starts with PK\x03\x04, not ISO-10303-21), so schema validation defers to the processor, which unzips and opens the first .ifc entry.",P1,0.5,48,".ifczip accepted at initiate; complete with zip-magic bytes flips ready and dispatches extraction with compressed=true; non-zip bytes under .ifczip are rejected; a zip with no .ifc entry fails cleanly; fragments render in the viewer.",Done,"WS1 shipped. API: ALLOWED_EXTENSIONS adds .ifczip → FileType.ifc (models/project_file.py); ifc/header.py ZIP_MAGIC + looks_like_zip(); project_files.py complete_upload splits on extension — the compressed path asserts zip magic on the 2KB peek (rejects not_zip), sets ifc_schema unknown, dispatches ifc_extraction with compressed=true. Processor: fflate dependency; extract.ts extractIfcFromZip() unzipSyncs the buffer and picks the first .ifc entry (fails clean if none) before openModel; uncompressed path unchanged. Portal model picker accepts .ifczip. Tests in test_project_files.py + processor vitest.",Aannemer,Both upload models; compressed IFC is common output from suppliers and BIM exporters.,P1-AN,Phase 2,Uploads compressed .ifcZIP models received from suppliers without manually unzipping first.
V1,Viewer Plugins,Pre-MVP,Screenshot plugin,"Viewer plugin to capture the current 3D viewport as PNG/JPEG. Supports custom resolution via offscreen render target, transparent backgrounds, and direct download. Commands: screenshot.capture (returns dataUrl), screenshot.download (triggers browser download).",-,-,A2,Toolbar button captures viewport as PNG; custom resolution works; transparent background option works.,Done,"screenshotPlugin() in packages/viewer/src/plugins/screenshot/index.ts. Registered as built-in in IfcViewer.tsx. Camera icon button in Toolbar.tsx. Commands: screenshot.capture, screenshot.download. Event: screenshot:captured.",Kwaliteitsborger + Aannemer,Both can capture viewport screenshots for reports or documentation,P1-AN,Phase 2,Aannemer captures model views for documentation.
V2,Viewer Plugins,Pre-MVP,Color coding plugin,"Viewer plugin that tints IFC elements by category or spatial structure using deterministic golden-ratio HSL palette. Supports custom color maps. Exposes legend data (group name, color, count) for UI rendering. Commands: colorCoding.apply, colorCoding.clear, colorCoding.toggle, colorCoding.legend.",-,-,"A2,classifier",Elements colored by IFC category or storey; toggle on/off works; legend data accessible via command.,Done,"colorCodingPlugin() in packages/viewer/src/plugins/color-coding/index.ts. Depends on classifier plugin. Palette icon button in Toolbar.tsx with active state tracking via colorCoding:change event. Auto-classifies on first apply if not yet classified.",Kwaliteitsborger + Aannemer,Both can visualize model elements by category or storey for quick orientation,P1-AN,Phase 2,Aannemer uses color coding to understand building structure by element type.
V3,Viewer Plugins,Pre-MVP,Exploder plugin,"Viewer plugin that separates model meshes spatially by storey (Y-axis offset) or category (radial offset) with animated transitions (ease-out quad, 600ms default). Groups tile meshes by bounding-box center into spatial bands, wraps in THREE.Group, animates offset. Commands: exploder.explode, exploder.reset, exploder.toggle, exploder.setFactor.",-,-,"A2,classifier",Storey explosion separates floors vertically with animation; category explosion spreads radially; toggle and reset work; model reload auto-resets.,Done,"exploderPlugin() in packages/viewer/src/plugins/exploder/index.ts. Depends on classifier plugin. Expand icon button in Toolbar.tsx with active state tracking via exploder:change event. Handles mesh reparenting for animation and cleanup on uninstall.",Kwaliteitsborger + Aannemer,Both can explode the model to inspect hidden elements between storeys or categories,P1-AN,Phase 2,Aannemer explodes model to inspect hidden assemblies and understand spatial relationships.
,,,,,,,,,,,,,,,
POST-MVP BACKLOG (quick wins first — ordered by effort),,,,,,,,,,,,,,,
P1,Documents & Viewers,Post-MVP,DWG/DXF attach-first (downloadable docs),"Allowlist .dwg/.dxf as downloadable documents (Attachment/Certificate/project_file storage only — no geometry parsing). Many trades still hand over DWG/DXF; today neither is accepted. Cheap Phase A: store + download + an unsupported-preview notice. Geometry overlay is the separate big-lift Phase B (P6).",P1,0.5,35,".dwg and .dxf upload, store, and download; an unsupported-preview notice is shown in the viewer; no geometry rendering is attempted.",Not Started,,Aannemer,Aannemer receives DWG/DXF from trades and needs them in the one dossier.,P1-AN,Phase 2,Uploads DWG/DXF drawings from subcontractors so every document lives in one dossier.
P2,Contractor Workflow,Post-MVP,Certificate-expiry dashboard aggregate,"Dashboard widget 'X certificates expire within 60 days' across all projects, plus an expired-cert-in-filed-dossier prominent warning. Completes N6 on top of the WS2 valid_until column and ?expiring_before / ?expired filters already shipped.",P1,0.5,"N7,N1","Home dashboard shows a count of certificates expiring within 60 days with click-through; a filed dossier that references an expired certificate shows a prominent warning.",Not Started,,Aannemer,Aannemer manages the cert library and chases suppliers for refreshes.,P0-AN,Phase 2,Sees '2 certificates expiring soon' on his home dashboard → uploads the new cert and the warning clears.
P3,Documents & Viewers,Post-MVP,Certificate → finding/inspection evidence linking,"Link certificates (not just attachments) to findings and inspections as named evidence, extending #47's reference-document pattern to the typed Certificate entity. Lets the aannemer attach a remediation/product certificate as resolution evidence and the dossier show the explicit check-to-proof link.",P1,1,"47,N7,27","A certificate can be linked to a finding as resolution evidence and to an inspection item; links render as thumbnails; the dossier PDF includes them.",Not Started,,Aannemer,Aannemer links certificates to findings as resolution proof; KB sees the links.,P1-AN,Phase 2,Closes a finding by attaching the supplier's remediation certificate as evidence.
P4,Documents & Viewers,Post-MVP,BCF 2.1/3.0 import/export,"Round-trip findings as BCF (a .bcfzip = zip of markup.bcf XML + viewpoints). Maps BCF Topic to our Finding so the aannemer exchanges issues with Solibri / BIMcollab / Navisworks. Net-new parser/serializer (the README's packages/bcf-parser does NOT exist in the live product). Sequenced after the finding model was hardened (WS3).",P1,4,"25,26,27","Importing a .bcfzip creates findings with viewpoints; exporting project findings yields a .bcfzip that opens in BIMcollab/Solibri; round-trip preserves topic id, status, and comments.",Not Started,,Kwaliteitsborger + Aannemer,Both exchange issues with external BIM-coordination tools via BCF.,P1-AN,Phase 2,Exports findings to BCF for the BIM coordinator and imports the coordinator's issues back.
P5,Contractor Workflow,Post-MVP,Org-owned reusable certificate library (Phase 2),"Promote certificates from project-scoped to org-owned reusable: relax project_id to nullable, add a cert-to-project link table, and add org-level list/clone endpoints. The buy-driver for the 'Paying, own org' model — the aannemer reuses one product certificate across many projects instead of re-uploading. WS2's structured fields were chosen library-ready; this is the deliberate Phase 2 seam.",P1,5,N7,"A certificate can be owned by the org and linked to multiple projects; an org-level library lists all certs; clone/link into a project works; existing project-scoped rows migrate cleanly.",Not Started,,Aannemer,Aannemer owns a cross-project certificate library — the reason to buy a paid org seat.,P0-AN,Phase 3,Uploads a product certificate once and reuses it across every project that uses that product.
P6,Documents & Viewers,Post-MVP,DWG/DXF 2D geometry overlay (Phase B),"Parse and render 2D DXF for overlay (dxf-parser handles DXF). DWG is proprietary and needs an ODA-class converter — a substantial third-party/licensing lift. Not scheduled; tracked as the explicit big-lift follow-on to P1's attach-first.",P2,8,P1,"DXF renders as a 2D overlay with layer toggles; DWG is converted via an ODA-class pipeline then rendered; performance is acceptable on large drawings.",Not Started,,Aannemer,"Aannemer views 2D drawings overlaid; heavy lift, low near-term priority.",P2-Deferred,Last,Views supplier DXF drawings directly in-app instead of downloading them to a CAD viewer.
